date,open,high,low,close,volume,adj_close,200_dma,200_dma_pct_diff,200_dma_top_band,200_dma_bot_band,60_dma,60_dma_pct_diff,60_dma_top_band,60_dma_bot_band,20_dma,20_dma_pct_diff,20_dma_top_band,20_dma_bot_band,200_vma,200_vma_pct_diff,200_vma_top_band,200_vma_bot_band,60_vma,60_vma_pct_diff,60_vma_top_band,60_vma_bot_band,20_vma,20_vma_pct_diff,20_vma_top_band,20_vma_bot_band
2010-04-13,2454.95,2467.94,2445.26,2465.99,2665420000,2465.99,2144.40,0.15,2251.62,2037.18,2295.41,0.07,2410.18,2180.64,2407.94,0.02,2528.33,2287.54,2197639850.00,0.21,2307521842.50,2087757857.50,2369434833.33,0.12,2487906575.00,2250963091.67,2352814000.00,0.13,2470454700.00,2235173300.00
2010-04-12,2455.40,2463.17,2450.15,2457.87,2161650000,2457.87,2141.07,0.15,2248.13,2034.02,2292.91,0.07,2407.55,2178.26,2403.43,0.02,2523.60,2283.26,2197584450.00,-0.02,2307463672.50,2087705227.50,2372046500.00,-0.09,2490648825.00,2253444175.00,2349670500.00,-0.08,2467154025.00,2232186975.00
2010-04-09,2441.31,2454.12,2432.93,2454.05,2215530000,2454.05,2137.63,0.15,2244.51,2030.75,2290.05,0.07,2404.55,2175.54,2399.15,0.02,2519.11,2279.19,2197269200.00,0.01,2307132660.00,2087405740.00,2374593000.00,-0.07,2493322650.00,2255863350.00,2351733500.00,-0.06,2469320175.00,2234146825.00
2010-04-08,2423.99,2441.12,2413.74,2436.81,2428900000,2436.81,2134.28,0.14,2240.99,2027.56,2287.97,0.07,2402.37,2173.57,2395.26,0.02,2515.02,2275.49,2196719550.00,0.11,2306555527.50,2086883572.50,2368742833.33,0.03,2487179975.00,2250305691.67,2358025500.00,0.03,2475926775.00,2240124225.00
2010-04-07,2433.10,2442.27,2418.73,2431.16,2984850000,2431.16,2131.26,0.14,2237.82,2024.69,2286.07,0.06,2400.38,2171.77,2390.73,0.02,2510.27,2271.19,2196117400.00,0.36,2305923270.00,2086311530.00,2354751833.33,0.27,2472489425.00,2237014241.67,2339801000.00,0.28,2456791050.00,2222810950.00
2010-04-06,2420.33,2443.50,2417.77,2436.81,2220390000,2436.81,2128.11,0.15,2234.52,2021.71,2283.79,0.07,2397.98,2169.60,2385.50,0.02,2504.78,2266.23,2195354600.00,0.01,2305122330.00,2085586870.00,2355579500.00,-0.06,2473358475.00,2237800525.00,2344397000.00,-0.05,2461616850.00,2227177150.00
2010-04-05,2409.48,2429.61,2403.88,2429.53,2130340000,2429.53,2125.00,0.14,2231.25,2018.75,2281.65,0.06,2395.73,2167.57,2380.34,0.02,2499.36,2261.32,2197318800.00,-0.03,2307184740.00,2087452860.00,2357629500.00,-0.10,2475510975.00,2239748025.00,2358474000.00,-0.10,2476397700.00,2240550300.00
2010-04-01,2411.68,2423.43,2383.77,2402.58,2340270000,2402.58,2121.97,0.13,2228.07,2015.87,2280.09,0.05,2394.09,2166.08,2374.83,0.01,2493.57,2256.09,2196755950.00,0.07,2306593747.50,2086918152.50,2358089333.33,-0.01,2475993800.00,2240184866.67,2350761500.00,-0.00,2468299575.00,2233223425.00
2010-03-31,2402.98,2415.44,2395.34,2397.96,2368690000,2397.96,2119.06,0.13,2225.02,2013.11,2278.60,0.05,2392.53,2164.67,2368.96,0.01,2487.41,2250.52,2195686000.00,0.08,2305470300.00,2085901700.00,2350800833.33,0.01,2468340875.00,2233260791.67,2362502500.00,0.00,2480627625.00,2244377375.00
2010-03-30,2406.69,2417.36,2395.80,2410.69,2147270000,2410.69,2116.30,0.14,2222.12,2010.49,2276.24,0.06,2390.05,2162.42,2362.47,0.02,2480.59,2244.35,2195017450.00,-0.02,2304768322.50,2085266577.50,2335643333.33,-0.08,2452425500.00,2218861166.67,2396732500.00,-0.10,2516569125.00,2276895875.00
